stop_name,stop_id,stop_lat,stop_lon,carrier,identifier
Lagoa Albufeira (Estr Casalão) (X) R Cabaça,11_1991,38.5073509567415,-9.16892876337429,data_tst,1991
Lagoa Albufeira (Estr Casalão) (X) R Eucaliptos,11_2040,38.5028337497577,-9.16724629310639,data_tst,2040
Lagoa Albufeira (Estr Casalão) (X) R Flores,11_1993,38.498439393133,-9.16424947613114,data_tst,1993
Lagoa Albufeira (Estr Casalão) Mercado,11_1995,38.4963115244742,-9.16143258531699,data_tst,1995
Lagoa Albufeira (R Poço) Centro Jardinagem,11_1997,38.5091331958635,-9.16753006313852,data_tst,1997
Lagoa Calvo (EM 533) (X) Forninho,11_315,38.6627077943152,-8.73873240825631,data_tst,315
Lagoa Calvo (EM 533) (X) R Joao Costa,11_314,38.6564648153635,-8.7410080336445,data_tst,314
Lagoa Calvo (EM 533) (X) R Joaquim M Silva,11_319,38.6758039062963,-8.73432111743596,data_tst,319
Lagoa Calvo (EM 533) (X) R Leandros,11_317,38.6711696046992,-8.73557359798152,data_tst,317
Lagoa Calvo (EM 533) (X) R Peraltas,11_324,38.6481805731443,-8.7444877940816,data_tst,324
Lagoa Calvo (EM 533) Fte (X) R Joao Costa,11_323,38.6565862583636,-8.74095767924322,data_tst,323
Lagoa Calvo (EM 533) Fte (X) R Joaquim M Silva,11_318,38.6755863911739,-8.73418929355217,data_tst,318
Lagoa Calvo (EM 533) Fte (X) R Peraltas,11_313,38.6479675831389,-8.74453925738036,data_tst,313
Lagoa Calvo (EM 533) Fte R Leandros,11_320,38.6711562256209,-8.73557792194978,data_tst,320
Lagoa Calvo (EM 533) Fte Soc Recreativa,11_321,38.6660841223645,-8.73721973920559,data_tst,321
Lagoa Calvo (EM 533) Soc Recreativa,11_316,38.6662326175812,-8.7371668356862,data_tst,316
Lagoa Palha (Antes X R 25 Abril),11_428,38.635208985927,-8.8842378318033,data_tst,428
Lagoa Palha (Centro) Esc Primária,11_2828,38.6362313266186,-8.87797576573529,data_tst,2828
Lagoa Palha (Centro) Fte Esc Primária,11_2831,38.636239873594,-8.87791654472311,data_tst,2831
Lagoa Palha (Depois X R 25 Abril),11_430,38.6349534827018,-8.88561523428508,data_tst,430
Lagoa Palha (Fte Qta Pedralva),11_2829,38.6352137382096,-8.89164847200699,data_tst,2829
Lagoa Palha (Qta Pedralva),11_2830,38.635220410927,-8.89170742842244,data_tst,2830
Lagoinha (EN 379-2) (X) Estr Pinhal Novo (Semáforo,11_3744,38.6015000790007,-8.93654581050326,data_tst,3744
Lagoinha (EN 379-2) (X) Estr Qta Anjo (Semáforos),11_3755,38.6015185678094,-8.93656645047127,data_tst,3755
Lagoinha (EN 379-2) (X) R Pinheiros,11_3786,38.5930957875714,-8.92420962369301,data_tst,3786
Lagoinha (EN 379-2) Casa Febras,11_3789,38.5984718444536,-8.93341362220398,data_tst,3789
Lagoinha (EN 379-2) Fte Casa Febras,11_3788,38.5983199740385,-8.93322574908007,data_tst,3788
Lagoinha (EN 379-2) Fte Posto Sopor,11_3787,38.5965993450119,-8.93087688735026,data_tst,3787
Lagoinha (EN 379-2) Fte R Pinheiros,11_3791,38.5931887635593,-8.92427269896861,data_tst,3791
Lagoinha (EN 379-2) Posto Sopor,11_3790,38.5961795084731,-8.93050373549861,data_tst,3790
Landeira (ETAR),11_761,38.5995651578555,-8.65576076844093,data_tst,761
Landeira (Fte ETAR),11_762,38.5995514494856,-8.65493103855476,data_tst,762
Landeira (Pça República 12),11_1036,38.5941158378914,-8.64878917114036,data_tst,1036
Landeira (R 25 Abril),11_760,38.5959494955146,-8.65200003198741,data_tst,760
Lançada (EN 11 123),11_3576,38.6828166350874,-8.95811481109274,data_tst,3576
Lançada (EN 11 72),11_3578,38.6835014116971,-8.95463255106654,data_tst,3578
Lançada (EN 11 Fte 123),11_3575,38.6828271701381,-8.95805440593608,data_tst,3575
Lançada (EN 11) (X) Cemitério,11_3579,38.6857470672564,-8.94629343793958,data_tst,3579
Lançada (EN 11) Fte Restaurante Lamejinhas,11_3577,38.6836770756393,-8.95376741987857,data_tst,3577
Laranjeiro,12_10,38.65599,-9.15453,data_metro_transportes_do_sul,10
Laranjeiro (Avª 23 Julho 343B),11_3182,38.6601633079704,-9.15700666475918,data_tst,3182
Laranjeiro (Avª 23 Julho 365) (X) R Álamos,11_764,38.6583812116252,-9.15569372025912,data_tst,764
Laranjeiro (Avª 23 Julho Fte 343B),11_3181,38.6601648268586,-9.15700768278487,data_tst,3181
Laranjeiro (Avª 23 Julho Fte Café),11_766,38.6562103903009,-9.15432038101992,data_tst,766
Laranjeiro (Avª 23 Julho) Café,11_767,38.6564382389466,-9.15440906065946,data_tst,767
Laranjeiro (Avª 23 Julho) Fte Stand Ventura,11_1332,38.6639604351785,-9.15967099110095,data_tst,1332
