Regions,early_dependence_index_1960,early_depedence_index_1981,early_dependence_index_2001,early_dependence_index_2011
Aljustrel,10.1,26.1,36.2,40.4
Almodôvar,11.2,27.1,41.8,51.8
Alvito,11.7,31,45.8,47.9
Barrancos,14.4,31.6,41.6,40.3
Beja,11.7,23.6,31.2,33
Castro Verde,11.3,32.1,34.7,38.8
Cuba,13.2,28.1,42.2,41.5
Ferreira do Alentejo,11.1,26,40,43.9
Mértola,12.5,38.1,57.7,61.4
Moura,12.8,27.8,35.9,38.9
Ourique,10.5,30.2,51.6,57.1
Serpa,11.8,25.6,39.4,41.9
Vidigueira,15.6,29.7,43.9,39.8
Lezíria do Tejo,13.9,20.8,29.9,34.8
Almeirim,11.1,17.8,29.1,34.9
Alpiarça,13.8,24.3,36.1,40.3
Azambuja,13.7,19.4,27.4,30.9
Benavente,11.4,15.9,21.6,24.2
Cartaxo,17.6,20.3,27,32.3
Chamusca,14.4,22.8,35.6,43.6
Coruche,10.9,22.8,39.4,50.2
Golegã,18.4,28.4,35.4,41.2
Rio Maior,13.6,20.9,27.6,32.2
Salvaterra de Magos,10.2,16,28.2,34.9
Santarém,16,22.8,31.4,36.2
Alto Alentejo,14,29.4,42.7,45.4
Alter do Chão,15.6,38.2,60.2,59.8
Arronches,13.2,34.1,53.8,60.6
Avis,12.5,33.3,48.9,53.1
Campo Maior,13.6,25.2,32.3,34.5
Castelo de Vide,19.8,47.2,52.6,58.4
Crato,15.4,39.2,59.3,63.4
Elvas,12.4,22.4,33.6,35.4
Fronteira,13.4,31.6,47.2,47.7
Gavião,18.8,42,75.6,80.7
Marvão,17.2,33.1,57,57.5
Monforte,12,31.4,47.1,50.7
Nisa,17,45,66.3,72.1
Ponte de Sor,12,25.5,38.2,41
Portalegre,13.3,21.9,32.7,36.6
Sousel,10.7,30.5,49.7,55.5
Alentejo Central,11.6,23.4,35.2,39.3
Alandroal,10.4,25.8,46.8,52.2
Arraiolos,11.8,27,42.4,42.8
Borba,11.1,22.5,36.2,43
Estremoz,12.2,26.8,42.3,47.6
Évora,11.1,18.9,27.6,30
Montemor-o-Novo,10.4,┴  24.0,41.4,48.4
Mora,13.6,30.4,50.9,58.8
Mourão,12.4,30.4,39,43.6
Portel,12.6,26.3,38.8,46
Redondo,11.9,26.8,39.2,41.9
Reguengos de Monsaraz,12.8,25.9,38.7,39.2
Vendas Novas,-,19.1,30,41.3
Viana do Alentejo,12.5,27.4,41.4,42.5
Vila Viçosa,12.4,21.8,29.1,36.8
Algarve,15.9,25.1,27.9,29.6
Algarve,15.9,25.1,27.9,29.6
Albufeira,16.6,23.4,18.3,19.1
Alcoutim,13.7,44.7,78,91.2
Aljezur,12.9,34.8,49,48.4
Castro Marim,15.7,31.9,42.8,43.9
