Regions,pop_per_doc_2001,pop_per_doc_2019,pop_per_pharm_2001,pop_per_pharm_2019
Baixo Alentejo,670.8,367.3,1954.1,1088.3
Aljustrel,1502.9,751.5,2630.0,1377.7
Almodôvar,1160.6,481.1,4062.0,2245.2
Alvito,2676.5,493.9,2676.5,2469.5
Barrancos,961.3,1639.5,1922.5,1639.5
Beja,283.9,170.4,1277.3,745.9
Castro Verde,1519.9,992.5,3799.8,1736.9
Cuba,1663.5,574.6,4990.5,2298.5
Ferreira do Alentejo,1496.3,1120.9,1795.5,1569.3
Mértola,1733.8,1028.7,8669.0,3086.0
Moura,1272.0,508.6,1837.4,915.6
Ourique,1234.6,771.7,3086.5,2315.0
Serpa,1113.6,754.7,1518.6,896.2
Vidigueira,1028.8,611.6,3086.3,1100.8
Lezíria do Tejo,643.1,376.5,1444.2,864.0
Almeirim,710.4,501.3,1468.1,1253.2
Alpiarça,1602.2,884.1,2002.8,1010.4
Azambuja,1043.9,1075.3,1491.3,451.6
Benavente,1174.0,707.2,1565.3,1086.0
Cartaxo,837.6,457.5,1234.4,881.2
Chamusca,1905.7,838.6,1270.4,768.8
Coruche,1121.5,531.8,3044.1,1170.0
Golegã,949.5,765.3,1424.3,1071.4
Rio Maior,1111.7,598.8,3017.4,1454.3
Salvaterra de Magos,1841.6,644.9,2532.2,1251.9
Santarém,302.4,166.9,977.1,700.1
Alto Alentejo,464.6,256.7,1865.1,1050.1
Alter do Chão,1310.8,635.6,1966.3,1059.3
Arronches,563.4,568.0,1690.3,1420.0
Avis,740.3,849.6,5182.0,4248.0
Campo Maior,700.4,146.1,4202.5,1578.1
Castelo de Vide,550.7,293.5,1927.5,489.2
Crato,2162.8,631.4,1441.8,1052.3
Elvas,278.1,139.3,1668.8,1288.6
Fronteira,744.9,596.0,1862.3,2980.0
Gavião,1217.1,1652.5,1622.8,826.3
Marvão,1004.6,432.8,-,1009.8
Monforte,681.4,497.0,1703.5,1491.0
Nisa,658.4,763.1,2139.8,1017.5
Ponte de Sor,786.4,557.1,1808.7,1157.2
Portalegre,273.2,188.7,1442.0,767.8
Sousel,1920.7,1108.3,1920.7,738.8
Alentejo Central,543.9,235.1,1652.4,978.1
Alandroal,3276.8,628.5,6553.5,1257.0
Arraiolos,2538.0,770.7,2538.0,1734.0
Borba,1293.3,563.6,3880.0,2254.3
Estremoz,1042.1,364.9,976.9,1064.3
Évora,242.7,108.6,1285.3,760.0
Montemor-o-Novo,1856.0,603.6,3093.3,1121.0
Mora,719.8,693.8,1151.7,832.6
Mourão,1602.0,1226.5,3204.0,2453.0
Portel,2361.7,835.6,3542.5,974.8
Redondo,1823.6,910.0,3647.3,1274.0
Reguengos de Monsaraz,1033.3,771.2,2273.2,1432.2
Vendas Novas,1293.1,625.4,1939.6,1023.4
Viana do Alentejo,937.6,1028.7,1406.4,1714.5
Vila Viçosa,1265.2,427.1,1107.1,640.6
Algarve,412.7,237.6,1899.7,1013.0
Algarve,412.7,237.6,1899.7,1013.0
Albufeira,815.4,439.6,2650.2,1147.9
Alcoutim,935.8,275.2,3743.0,1100.8
Aljezur,757.6,430.5,1767.8,1399.1
Castro Marim,826.2,521.3,6609.5,1563.9
Faro,145.7,91.0,955.2,592.2
Lagoa,471.2,288.0,2303.6,1083.6
Lagos,522.2,289.6,1827.6,1169.5
Loulé,633.6,380.0,3308.8,1091.8
Monchique,1735.4,1025.9,3470.8,1709.8
Olhão,952.6,432.1,5120.1,1534.7
Portimão,261.3,154.5,1189.8,840.1
São Brás de Alportel,558.3,231.5,2512.5,946.9
Silves,1616.5,646.4,2263.2,1448.0
Tavira,676.1,357.1,2084.8,947.7
Vila do Bispo,2665.0,859.0,2665.0,2577.0
Vila Real de Santo António,946.3,459.0,1997.8,1568.2
Região Autónoma dos Açores,606.4,278.1,3506.7,1173.0
Região Autónoma dos Açores,606.4,278.1,3506.7,1173.0
Ilha de Santa Maria,2788.3,432.3,-,1873.2
Vila do Porto,2788.3,432.3,-,1873.2
Ilha de São Miguel,546.9,244.2,3562.4,1247.5
Lagoa [R.A.A.],1009.3,490.0,7064.8,1633.4
Nordeste,1758.7,608.6,5276.0,4868.5
Ponta Delgada,341.8,152.9,2998.3,905.3
Povoação,1117.8,540.0,3353.3,1980.2
Ribeira Grande,1505.5,584.9,4086.4,2519.6
Vila Franca do Campo,1854.8,851.1,3709.7,1229.4
Ilha Terceira,570.2,277.3,3286.9,1081.9
Angra do Heroísmo,439.5,230.3,3236.0,806.1
Vila da Praia da Vitória,1193.0,410.1,3380.2,2369.3
Ilha Graciosa,4778.5,1054.1,2389.3,4216.5
Santa Cruz da Graciosa,4778.5,1054.1,2389.3,4216.5
Ilha de São Jorge,1930.9,488.8,3218.2,1187.1
Calheta [R.A.A.],4057.5,1597.3,2028.8,798.6
Velas,1399.3,341.0,5597.0,1705.0
Ilha do Pico,1344.3,568.5,3696.8,802.6
Lajes do Pico,1257.9,374.5,5031.5,499.3
Madalena,3068.3,1471.3,6136.5,1177.0
São Roque do Pico,723.8,408.1,1809.5,1088.3
Ilha do Faial,386.3,302.7,3766.3,908.2
Horta,386.3,302.7,3766.3,908.2
Ilha das Flores,3995.0,725.6,1997.5,1814.0
Lajes das Flores,-,1463.5,-,-
Santa Cruz das Flores,2489.5,541.1,1244.8,1082.3
Ilha do Corvo,424.5,464.5,-,-
Corvo,424.5,464.5,-,-
Região Autónoma da Madeira,513.7,225.1,2765.0,1072.1
Região Autónoma da Madeira,513.7,225.1,2765.0,1072.1
Ilha da Madeira,505.4,222.4,2841.9,1059.2
Calheta [R.A.M.],3974.2,1207.3,-,2173.2
Câmara de Lobos,2667.2,674.1,4334.3,1685.2
Funchal,267.0,125.7,1898.2,759.7
Machico,2416.1,513.8,7248.3,1054.6
Ponta do Sol,8156.5,779.0,2718.8,2142.1
Porto Moniz,2915.0,335.1,2915.0,1173.0
Ribeira Brava,12523.0,477.8,12523.0,1035.3
Santa Cruz,561.1,326.2,3787.6,1667.1
Santana,4374.8,1346.1,2916.5,1346.1
São Vicente,2059.5,857.8,2059.5,1286.6
Ilha de Porto Santo,4517.5,518.9,1129.4,2594.5
Porto Santo,4517.5,518.9,1129.4,2594.5
